name,category,description,primary_user,status,skill_type,archetype,agent_pattern,risk_tier,action_mode,human_approval,delivery_wave,tooling_data,validation_focus,scheduled_agent
liquidity-risk-scenario-analyzer,Risk Management,"Model cash inflows, outflows, funding, collateral, survival horizon, and contingency actions under institution-specific stress scenarios.",Treasury risk / asset-liability management,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Risk register, limits, loss events, scenarios, third-party inventory, finance and operational data","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
operational-risk-event-analyzer,Risk Management,"Classify loss and near-miss events, identify root causes and control themes, quantify impacts, and recommend remediation tracking.",Operational-risk / business control analyst,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Risk register, limits, loss events, scenarios, third-party inventory, finance and operational data","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
third-party-risk-assessor,Risk Management,"Assess vendor criticality, control evidence, concentration, subcontractors, data, resilience, financial condition, and exit or contingency plans.",Third-party risk / procurement / business owner,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Risk register, limits, loss events, scenarios, third-party inventory, finance and operational data","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
concentration-risk-monitor,Risk Management,"Monitor concentrations across counterparties, sectors, geographies, products, technologies, cloud or AI providers, and operational dependencies.",Enterprise risk / credit risk / resilience officer,new,System-interaction or operational skills,Monitor & alert,Scheduled monitor + human queue,R3 — regulated/control decision support,Scheduled read-only; alert only,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Risk register, limits, loss events, scenarios, third-party inventory, finance and operational data","Freshness, precision/recall, threshold behavior, deduplication, escalation latency, no autonomous action",Yes — read-only monitoring only
kyc-customer-due-diligence-screener,Compliance & Financial Crime,"Screen customer and beneficial-owner information for completeness, identity, risk factors, sanctions, PEPs, and escalation needs; retain human adjudication.",KYC / client onboarding analyst,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"KYC/AML, sanctions and PEP data, transaction monitoring, case management, regulatory corpus, records archive","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
enhanced-due-diligence-packager,Compliance & Financial Crime,"Assemble higher-risk customer, source-of-funds, source-of-wealth, ownership, geography, adverse-media, and control evidence into an EDD package.",EDD investigator / compliance officer,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"KYC/AML, sanctions and PEP data, transaction monitoring, case management, regulatory corpus, records archive","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
sanctions-match-adjudicator,Compliance & Financial Crime,"Compare potential matches using identifiers, ownership, aliases, geography, and transaction context; document a disposition recommendation for authorized review.",Sanctions analyst / payments investigator,new,Analysis and evaluation skills,Investigate & casework,Case agent + evidence bundle,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"KYC/AML, sanctions and PEP data, transaction monitoring, case management, regulatory corpus, records archive","Entity resolution, evidence completeness, chronology, disposition consistency, reviewer agreement",No by default
transaction-monitoring-alert-investigator,Compliance & Financial Crime,"Investigate AML alerts escalated from first-line triage using customer, entity, account, transaction, network, geography, historical activity, and prior-case data; document evidence and disposition rationale without unapproved case closure.",AML investigator / FIU analyst,new,System-interaction or operational skills,Monitor & alert,Scheduled monitor + human queue,R3 — regulated/control decision support,Scheduled read-only; alert only,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Escalated alert and triage evidence, KYC/AML, transactions, counterparties and networks, sanctions/adverse media, prior cases, case management","Escalation integrity, entity resolution, chronology, evidence completeness, typology application, disposition consistency, no unapproved closure",Yes — read-only monitoring only
suspicious-activity-report-drafter,Compliance & Financial Crime,"Draft a fact-based suspicious-activity report narrative and supporting case package covering chronology, parties, amounts, instruments, typologies, evidence, and investigative rationale for compliance approval and authorized filing.",FIU investigator / SAR quality reviewer,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Approved investigation case, transaction and entity evidence, chronology, typology library, filing instructions, quality checklist, case management","Factual accuracy, chronology and amount tie-outs, party coverage, typology consistency, prohibited speculation, approval and filing controls",No by default
customer-risk-rating-reviewer,Compliance & Financial Crime,"Recalculate and challenge customer risk ratings using approved methodology, data quality, trigger events, and documented overrides.",KYC quality assurance / compliance officer,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"KYC/AML, sanctions and PEP data, transaction monitoring, case management, regulatory corpus, records archive","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
aml-alert-triager,Compliance & Financial Crime,"Perform first-line triage of transaction-monitoring alerts using customer, entity, transaction, network, geography, and prior-case context; apply only approved suppression logic and package escalations with evidence.",AML triage analyst / FIU investigator,new,Analysis and evaluation skills,Investigate & casework,Case agent + evidence bundle,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, case closure, control attestation, or system-of-record change",Wave 3 — regulated casework,"Transaction-monitoring queue, KYC/customer risk, entities and counterparties, transactions and networks, prior alerts/cases, approved triage and suppression rules","Alert prioritization and escalation precision/recall, entity resolution, evidence completeness, approved-suppression controls, audit trail",No by default
beneficial-ownership-verifier,Compliance & Financial Crime,"Map legal and control ownership, reconcile declarations with evidence, identify gaps, and apply jurisdiction-specific requirements and effective dates.",KYC / legal-entity onboarding analyst,new,Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"KYC/AML, sanctions and PEP data, transaction monitoring, case management, regulatory corpus, records archive","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
adverse-media-investigator,Compliance & Financial Crime,"Search and assess credible adverse information, resolve entities, distinguish allegations from findings, and document relevance and source quality.",Financial-crime investigator / reputational risk,new,Analysis and evaluation skills,Investigate & casework,Case agent + evidence bundle,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"KYC/AML, sanctions and PEP data, transaction monitoring, case management, regulatory corpus, records archive","Entity resolution, evidence completeness, chronology, disposition consistency, reviewer agreement",No by default
regulatory-change-impact-analyzer,Compliance & Financial Crime,"Monitor authoritative laws, regulations, supervisory guidance, and standards; capture jurisdiction and effective dates, map obligations to businesses, policies, controls, systems, data, training, and owners, and track implementation decisions.",Regulatory-change analyst / compliance advisory,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Authoritative regulatory corpus, jurisdiction and effective-date metadata, policy/control/system inventories, obligations taxonomy, issue and owner tracking","Authority and effective-date accuracy, obligation extraction, applicability, mapping completeness, conflict handling, owner and implementation traceability",No by default
policy-procedure-gap-analyzer,Compliance & Financial Crime,"Compare policies and procedures with laws, regulations, standards, and actual operations; identify gaps, conflicts, obsolete steps, and evidence needs.",Compliance advisory / policy owner / audit,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"KYC/AML, sanctions and PEP data, transaction monitoring, case management, regulatory corpus, records archive","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
regulatory-exam-response-packager,Compliance & Financial Crime,"Organize requests, evidence, narratives, issue status, approvals, and provenance into a controlled examination or inquiry response package.",Regulatory affairs / compliance / legal,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"KYC/AML, sanctions and PEP data, transaction monitoring, case management, regulatory corpus, records archive","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
privacy-impact-assessment-assistant,Compliance & Financial Crime,"Draft privacy and data-protection impact assessments covering purpose, data, legal basis, sharing, retention, security, rights, and mitigations.",Privacy officer / product risk / legal,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"KYC/AML, sanctions and PEP data, transaction monitoring, case management, regulatory corpus, records archive","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
conflicts-of-interest-reviewer,Compliance & Financial Crime,"Identify actual or potential conflicts, affected parties, incentives, disclosures, controls, approvals, and residual risk.",Compliance / legal / business supervisor,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"KYC/AML, sanctions and PEP data, transaction monitoring, case management, regulatory corpus, records archive","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
employee-trading-preclearance-assistant,Compliance & Financial Crime,"Check proposed personal trades against restricted lists, holdings, blackout periods, conflicts, and policy rules; require compliance authorization.",Employee-compliance / control-room analyst,new,Workflow or orchestration skills,Orchestrate & resolve,Plan-validate-execute workflow agent,R4 — approval-gated action,Approval-gated write or submission,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 4 — gated orchestration,"KYC/AML, sanctions and PEP data, transaction monitoring, case management, regulatory corpus, records archive","Plan validation, permissions, approvals, idempotency, rollback, audit log, failure recovery",No by default
valuation-reviewer,Finance & Operations,"Review valuation methods, inputs, hierarchy, comparables, adjustments, uncertainty, overrides, and independent-price-verification evidence.",Valuation / product-control / finance analyst,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"ERP/GL, subledgers, consolidation, FP&A, regulatory reporting, document and spreadsheet tools","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
gl-reconciler,Finance & Operations,"Reconcile general-ledger balances to subledgers and source systems, classify breaks, trace lineage, and propose journal corrections for approval.",Accountant / finance operations,new,Analysis and evaluation skills,Reconcile & validate,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"ERP/GL, subledgers, consolidation, FP&A, regulatory reporting, document and spreadsheet tools","Record matching, lineage, break taxonomy, totals, idempotency, proposed-entry accuracy",No by default
month-end-close-orchestrator,Finance & Operations,"Coordinate close tasks, dependencies, certifications, reconciliations, journals, exceptions, and evidence; gate all postings and sign-offs.",Controller / close manager / accountant,new,Workflow or orchestration skills,Orchestrate & resolve,Plan-validate-execute workflow agent,R4 — approval-gated action,Approval-gated write or submission,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 4 — gated orchestration,"ERP/GL, subledgers, consolidation, FP&A, regulatory reporting, document and spreadsheet tools","Plan validation, permissions, approvals, idempotency, rollback, audit log, failure recovery",No by default
financial-statement-audit-assistant,Finance & Operations,"Support audit planning, evidence mapping, sampling, tie-outs, testing, and issue tracking without forming an audit opinion.",Internal or external audit / finance,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"ERP/GL, subledgers, consolidation, FP&A, regulatory reporting, document and spreadsheet tools","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
financials-normalizer,Finance & Operations,"Convert inconsistent corporate, issuer, or deal financial statements and schedules into standardized model-ready data with mappings, adjustments, provenance, and tie-outs; borrower spreading into bank credit templates is a separate workflow.",Finance / banking / research analyst,new,Utility skills,Domain workflow,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Corporate, issuer and deal financial statements, source mappings, chart-of-accounts dictionaries, spreadsheet/calculation tools, source-to-output reconciliation","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
accounts-payable-exception-resolver,Finance & Operations,"Investigate invoice, purchase-order, receipt, duplicate, tax, bank-detail, and approval exceptions; stage corrections for authorized execution.",Accounts-payable / procurement operations,new,Workflow or orchestration skills,Orchestrate & resolve,Plan-validate-execute workflow agent,R4 — approval-gated action,Approval-gated write or submission,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 4 — gated orchestration,"ERP/GL, subledgers, consolidation, FP&A, regulatory reporting, document and spreadsheet tools","Plan validation, permissions, approvals, idempotency, rollback, audit log, failure recovery",No by default
fpa-variance-analyzer,Finance & Operations,"Explain actual-to-budget, forecast, and prior-period variances by driver; quantify run-rate impacts and draft management commentary.",FP&A analyst / finance business partner,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"ERP/GL, subledgers, consolidation, FP&A, regulatory reporting, document and spreadsheet tools","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
management-reporting-packager,Finance & Operations,"Assemble controlled management reports with KPI commentary, reconciliations, source lineage, exception flags, and executive takeaways.",Controller / FP&A / business finance,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"ERP/GL, subledgers, consolidation, FP&A, regulatory reporting, document and spreadsheet tools","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
regulatory-reporting-data-validator,Finance & Operations,"Validate regulatory-report inputs, transformations, controls, reconciliations, completeness, timeliness, and sign-off evidence.",Regulatory reporting / finance control,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"ERP/GL, subledgers, consolidation, FP&A, regulatory reporting, document and spreadsheet tools","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
audit-evidence-packager,Finance & Operations,"Collect, index, redact, cross-reference, and quality-check requested evidence while preserving chain of custody and approval history.",Audit coordinator / control owner,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"ERP/GL, subledgers, consolidation, FP&A, regulatory reporting, document and spreadsheet tools","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
security-alert-triage-assistant,Cybersecurity & Operational Resilience,"Enrich and prioritize security alerts, map affected assets and identities, suppress known benign patterns, and prepare analyst-ready investigation context.",SOC analyst / incident responder,new,System-interaction or operational skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"SIEM/SOAR, IAM, vulnerability and cloud posture, CMDB, threat intelligence, incident and BCP systems","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
phishing-and-bec-investigator,Cybersecurity & Operational Resilience,"Analyze messages, headers, links, identities, payment requests, behavior, and related alerts; recommend containment and fraud coordination steps.",SOC / fraud / email-security analyst,new,Analysis and evaluation skills,Investigate & casework,Case agent + evidence bundle,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"SIEM/SOAR, IAM, vulnerability and cloud posture, CMDB, threat intelligence, incident and BCP systems","Entity resolution, evidence completeness, chronology, disposition consistency, reviewer agreement",No by default
identity-access-reviewer,Cybersecurity & Operational Resilience,"Review identities, roles, entitlements, segregation, privileged access, inactivity, and certification evidence; stage revocations for approval.",IAM analyst / control owner,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"SIEM/SOAR, IAM, vulnerability and cloud posture, CMDB, threat intelligence, incident and BCP systems","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
vulnerability-prioritization-assistant,Cybersecurity & Operational Resilience,"Prioritize vulnerabilities using exploitability, exposure, asset criticality, compensating controls, threat intelligence, and business impact.",Vulnerability management / security engineering,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"SIEM/SOAR, IAM, vulnerability and cloud posture, CMDB, threat intelligence, incident and BCP systems","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
cloud-security-posture-reviewer,Cybersecurity & Operational Resilience,"Review cloud configurations, identity, network, logging, encryption, data exposure, and policy violations with actionable remediation evidence.",Cloud-security / platform engineering,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"SIEM/SOAR, IAM, vulnerability and cloud posture, CMDB, threat intelligence, incident and BCP systems","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
data-loss-prevention-incident-assistant,Cybersecurity & Operational Resilience,"Investigate potential data exfiltration or policy violations, classify data, determine exposure, preserve evidence, and coordinate escalation.",DLP / privacy / incident-response analyst,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"SIEM/SOAR, IAM, vulnerability and cloud posture, CMDB, threat intelligence, incident and BCP systems","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
cyber-incident-response-coordinator,Cybersecurity & Operational Resilience,"Maintain incident chronology, roles, evidence, decisions, containment tasks, communications, dependencies, and post-incident actions.",Incident commander / cyber-response team,new,System-interaction or operational skills,Domain workflow,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"SIEM/SOAR, IAM, vulnerability and cloud posture, CMDB, threat intelligence, incident and BCP systems","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
ransomware-readiness-assessor,Cybersecurity & Operational Resilience,"Assess identity, segmentation, backups, recovery, detection, third parties, exercises, communications, and critical-service dependencies.",CISO office / resilience / infrastructure,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"SIEM/SOAR, IAM, vulnerability and cloud posture, CMDB, threat intelligence, incident and BCP systems","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
third-party-cyber-risk-reviewer,Cybersecurity & Operational Resilience,"Review supplier security evidence, incidents, vulnerabilities, data access, subcontractors, resilience, contractual obligations, and remediation.",Third-party cyber risk / procurement,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"SIEM/SOAR, IAM, vulnerability and cloud posture, CMDB, threat intelligence, incident and BCP systems","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
operational-resilience-scenario-tester,Cybersecurity & Operational Resilience,"Design and document severe-but-plausible service-disruption tests, dependencies, impact tolerances, response decisions, recovery evidence, and lessons; jurisdictional registers and regulatory reporting are separate workflows.",Operational resilience / business continuity,new,Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"SIEM/SOAR, IAM, vulnerability and cloud posture, CMDB, threat intelligence, incident and BCP systems","Scenario severity and plausibility, service and dependency coverage, tolerance testing, decision and recovery evidence, separation from regulatory reporting",No by default
operational-resilience-reporter,Cybersecurity & Operational Resilience,"Maintain critical-service and critical-third-party registers and draft incident, testing, dependency, impact-tolerance, and regulatory resilience reports using jurisdiction-specific templates and evidence.",Operational resilience / TPRM / regulatory reporting,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, case closure, control attestation, or system-of-record change",Wave 3 — regulated casework,"Critical-service and third-party registers, CMDB/dependency maps, incidents, tests, impact tolerances, contracts, jurisdictional reporting rules and templates","Register completeness, service/third-party identity, incident and test chronology, tolerance and dependency accuracy, jurisdiction/version rules, approval and submission controls",No by default
customer-interaction-summarizer,Customer Service & Experience,"Summarize calls, chats, emails, sentiment, commitments, disclosures, and open actions with links to the underlying interaction.",Contact-center agent / relationship manager,new,Guidance or domain-expertise skills,Explain & summarize,Interactive decision-support copilot,R1 — informational,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — low-risk productivity,"CRM, contact-center transcripts, case management, approved knowledge, product terms, complaint system","Source fidelity, citation coverage, completeness, plain-language accuracy, prohibited-advice checks",No by default
next-best-action-assistant,Customer Service & Experience,"Recommend policy-compliant service, education, referral, or retention actions from customer context; exclude binding credit, claim, or investment decisions.",Service agent / relationship manager,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"CRM, contact-center transcripts, case management, approved knowledge, product terms, complaint system","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
complaint-resolution-assistant,Customer Service & Experience,"Classify complaints, reconstruct chronology, identify applicable standards and root causes, calculate proposed remediation, and draft a reviewed response.",Complaints handler / conduct-risk team,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"CRM, contact-center transcripts, case management, approved knowledge, product terms, complaint system","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
vulnerable-customer-support-assistant,Customer Service & Experience,"Identify potential support needs from customer-provided context, suggest accommodations and specialist referral, and avoid diagnostic or discriminatory conclusions.",Service agent / vulnerability specialist,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"CRM, contact-center transcripts, case management, approved knowledge, product terms, complaint system","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
omnichannel-case-orchestrator,Customer Service & Experience,"Unify customer history and coordinate tasks across channels and systems; require approval for financial adjustments, account changes, or outbound commitments.",Case manager / service operations,new,System-interaction or operational skills,Orchestrate & resolve,Plan-validate-execute workflow agent,R4 — approval-gated action,Approval-gated write or submission,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 4 — gated orchestration,"CRM, contact-center transcripts, case management, approved knowledge, product terms, complaint system","Plan validation, permissions, approvals, idempotency, rollback, audit log, failure recovery",No by default
call-quality-compliance-reviewer,Customer Service & Experience,"Evaluate interactions for accuracy, required disclosures, fair treatment, authentication, prohibited language, and coaching opportunities.",Quality assurance / compliance / contact-center manager,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"CRM, contact-center transcripts, case management, approved knowledge, product terms, complaint system","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
knowledge-answer-composer,Customer Service & Experience,"Compose concise, source-linked answers from approved policies, product terms, procedures, and current service status; surface uncertainty.",Employee service desk / customer-service agent,new,Guidance or domain-expertise skills,Explain & summarize,Interactive decision-support copilot,R1 — informational,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — low-risk productivity,"CRM, contact-center transcripts, case management, approved knowledge, product terms, complaint system","Source fidelity, citation coverage, completeness, plain-language accuracy, prohibited-advice checks",No by default
service-recovery-assistant,Customer Service & Experience,"Assess service failures, customer impact, precedent, policy, and fair-value considerations; draft remediation and communication for approval.",Customer-experience / complaints / operations,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"CRM, contact-center transcripts, case management, approved knowledge, product terms, complaint system","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
ai-use-case-intake-classifier,"Data, AI & Model Governance","Classify proposed AI use cases by purpose, users, data, decisions, materiality, jurisdictions, risks, controls, and required governance path.",AI governance / product owner / risk,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 1 — platform controls,"Model registry, data catalog, evaluation harness, agent/tool logs, policies, risk and issue systems","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
ai-risk-assessment-builder,"Data, AI & Model Governance","Build an AI risk assessment covering data, model, fairness, explainability, security, privacy, third parties, human oversight, resilience, and monitoring.",AI risk / model risk / compliance,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 1 — platform controls,"Model registry, data catalog, evaluation harness, agent/tool logs, policies, risk and issue systems","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
model-inventory-maintainer,"Data, AI & Model Governance","Create or update model and agent inventory records, ownership, purpose, lineage, materiality, dependencies, versions, approvals, and lifecycle status.",Model-risk management / AI governance,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 1 — platform controls,"Model registry, data catalog, evaluation harness, agent/tool logs, policies, risk and issue systems","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
